Dam: Vanderkloof Dam , FSC: 3171.3 , Dam level: 1806.13
Dam: Disaneng Dam , FSC: 14.125 , Dam level: 4.83
Dam: Setumo Dam , FSC: 20.718 , Dam level: 8.634
Dam: Boegoeberg Dam , FSC: 19.815000000000001 , Dam level: 18.529
Dam: Bulshoek Dam , FSC: 4.809 , Dam level: 3.125
Dam: Clanwilliam Dam , FSC: 122.48 , Dam level: 25.170999999999999
Dam: Karee Dam , FSC: 0.949 , Dam level: 0.16
Dam: Voelvlei Dam , FSC: 158.58000000000001 , Dam level: 35.231000000000002
Dam: Wemmershoek Dam, FSC: 58.71 , Dam level: 30.68
Dam: Misverstand Dam , FSC: 6.439 , Dam level: 5.716
Dam: Berg River Dam  , FSC: 127.05 , Dam level: 39.450000000000003
Dam: Steenbras Dam Lower  , FSC: 33.880000000000003 , Dam level: 16.280999999999999
Dam: Eikenhof Dam , FSC: 28.856000000000002 , Dam level: 15.675000000000001
Dam: Steenbras Dam - Upper  , FSC: 31.811 , Dam level: 19.081
Dam: Debe Dam, FSC: 6.331 , Dam level: 5.502
Dam: De Bos Dam , FSC: 5.735 , Dam level: 4.091
Dam: Brandvlei Dam , FSC: 286.04000000000002 , Dam level: 70.819000000000003
Dam: Stettynskloof Dam , FSC: 14.747 , Dam level: 6.43
Dam: Ceres Dam, FSC: 17.25 , Dam level: 
Dam: Roode Els Berg Dam , FSC: 7.727 , Dam level: 2.431
Dam: Lakenvallei Dam , FSC: 10.263999999999999 , Dam level: 8.970000000000001
Dam: Poortjieskloof Dam , FSC: 9.720000000000001 , Dam level: 7.804
Dam: Pietersfontein Dam , FSC: 1.984 , Dam level: 1.71
Dam: Keerom Dam , FSC: 9.75 , Dam level: 6.784
Dam: Klipberg Dam , FSC: 1.978 , Dam level: 1.278
Dam: Kwaggaskloof Dam , FSC: 169.41 , Dam level: 46.241999999999997
Dam: Theewaterskloof Dam , FSC: 479.26 , Dam level: 188.66
Dam: Elandskloof Dam , FSC: 10.993 , Dam level: 4.669
Dam: Buffeljags Dam , FSC: 4.543 , Dam level: 4.417
Dam: Duiwenhoks Dam , FSC: 6.18 , Dam level: 
Dam: Korentepoort Dam , FSC: 8.092 , Dam level: 7.775
Dam: Prinsrivier Dam , FSC: 2.258 , Dam level: 0.689
